location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
4837116,"PHA Office","relativehumidity",52.65916659037273,"%","2025-11-13T03:00:00Z","2025-11-13T08:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",46.85450007120769,"%","2025-11-13T04:00:00Z","2025-11-13T09:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",39.31749998728434,"%","2025-11-13T05:00:00Z","2025-11-13T10:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",35.909888924492726,"%","2025-11-13T07:00:00Z","2025-11-13T12:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",33.38333314259847,"%","2025-11-13T08:00:00Z","2025-11-13T13:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",31.561874969800314,"%","2025-11-13T09:00:00Z","2025-11-13T14:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",30.899666500091552,"%","2025-11-13T10:00:00Z","2025-11-13T15:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",29.570999908447263,"%","2025-11-13T11:00:00Z","2025-11-13T16:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",31.552590942382814,"%","2025-11-13T12:00:00Z","2025-11-13T17:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",40.718555768330894,"%","2025-11-13T13:00:00Z","2025-11-13T18:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
